Location,test_text
蓮池潭,"蓮池潭
舊稱蓮花潭，位於高雄市左營區東側，南鄰龜山、北接半屏山，潭面面積約42公頃，源於高屏溪。蓮池潭周邊潭水因遍植荷花，在清領時期就名列鳳山八景，稱「泮水荷香」，現因湖畔半屏山特殊造型與龍虎塔遠近倒映水中，而以「蓮潭夕照」聞名。入夜後的蓮池潭，水霧濛濛，景色若隱若現，予人難以言喻的神秘感。潭上亭台樓閣林立，潭畔遍植垂柳，景緻秀麗。由南而北風景點分別有舊城、龍虎塔、五里亭、春秋閣、啟明堂、孔廟等，吸引各地遊客前往，假日更是絡繹不絕。春秋閣
春秋閣建於民國42年為兩座中國宮殿式樓閣，為春閣及秋閣之合稱，各為四層八角，綠瓦黃牆，宛如寶塔，古色古香的塔影倒映水中，造型為當時全臺灣塔中之翹楚。各有九曲橋相通，又稱「春秋御閣」，係為紀念武聖關公而建。位在春秋閣的前端有一尊騎龍觀音，關於此一騎龍觀音的由來有一傳說：觀音菩薩曾騎龍在雲端現身，指示信徒要依其現身之形態建造聖像在春閣與秋閣之間，於是有現今的騎龍觀音聖像。龍虎塔
塔高七層，潭水上立有龍虎兩孿生閣樓，樓前各有龍虎塑像，遊客可以身為道，由龍口進，虎口出，取其吉祥之意。塔身與岸邊有九曲橋銜接，巍峨聳立，與潭面相互對應，景緻優美。"
饒河街觀光夜市,饒河街夜市位於松山區八德路四段及撫遠街間的饒河街，全長600公尺，是臺北市區的大型觀光夜市之一。饒河街與松山車站一帶舊稱錫口，因基隆河水深，使本區得舟楫之便，而成為基隆、宜蘭貨物運至臺北城之轉運站，當時商賈雲集、舟船輻輳，極一時之盛，故使本區有「小蘇州」之稱。後因港岸河水淤積，停泊船隻漸少，再加上八德路拓寬後，饒河街成為次要道路，商業活動大減。政府為了改善當地商家生計，遂於民國76年（西元1987年）將南松山橋下有照攤販集中至饒河街，規劃為五百公尺長，為臺北市第二條觀光夜市。攤位整齊，內容琳琅滿目，蚵仔麵線、牛雜麵、冰品攤等應有盡有。除了小吃外，各種日用百貨如服飾、皮鞋亦物美價廉，此外還有民俗技藝表演及土產展售等。饒河街夜市全長約六百公尺，位於撫遠街與松山火車站前的入口處，各設有一座燈火璀璨的牌樓，由牌樓處開始進入夜市區。饒河街夜市之一大特色，以定期舉辦傳統技藝表演而聞名。兩側商店及騎樓下的攤販不計其數，因此來到此地的人，無論採買服飾、生活用品或吃喝玩樂，絕對能盡其所欲。
高美濕地,"高美濕地位於清水大甲溪出海口南側，廣達1,500公頃的高美濕地，擁有豐富的天然資源，是國內少數幾處雁鴨集體繁殖區之一。曾在高美濕地棲息的鳥類有多達120餘種，為重要之生態保育區。目前已逐漸取代大肚溪口，成為喜好賞鳥人士的新興賞線。高美濕地雖然面積不大，但是由於泥質及沙質灘地兼具，加上與河口沼澤地帶鑲嵌在一起，所以孕育了豐富又複雜的濕地生態，以及目前所知全臺灣最大族群的雲林莞草區，形成乾濕相間伴有植物生長的複雜地形，因為地形多變，生態種類亦相當複雜，主要為鳥類、魚類、蟹類及其他無脊椎類等生物。高美自行車道
高美自行車道規劃「河濱生態解說園」、「燈塔博物館」、「生態展售區」、「服務設施區」、「生態解說體驗園」、「濱海生態學習園區」、「電力博物館」等設施，讓遊客可以沿途欣賞優美的風景，另外還能對高美濕地有更深入的了解。高美自行車是沿著清水大排、海堤至高美溼地，南起濱海橋、北至高美海堤防汛道路，全長1.7公里，車道旁緊鄰清水大排和高美溼地，除了可以鳥瞰整片高美溼地外，同時也是賞鳥、看夕陽的好地方，未來還可眺望西側海岸正在興建的風力發電機組，是個可以讓遊客旅遊休憩的好地方。"
田寮月世界,田寮月世界位於田寮區崇德與古亭兩里之間，因是不毛之地，有著淒涼荒漠之美，像月球之景象而名聞遐邇。這種奇特的景觀，地理學上稱做「惡地」的地形，乃是因為地殼「回春作用」，長年累月經雨水與河水強烈侵蝕而成的惡劣地形。月世界地居二仁溪小支流山谷內，山谷中建了一座攔沙壩，儲積雨季之水，稱「月景農塘」。但在短短十多年，農塘已被雨水強烈的沖刷，只剩下一片滿目蒼涼的景觀了。月世界附近有一座「攬月樓」，可供遊客休息賞景，採中國式建築，外觀非常引人注目。鄰近景點有日月禪寺、峰月宮、泥火泉等，奇特的風景，還有露營區，可供外來遊客到此賞玩。
日月潭國家風景區-向山遊客中心,臺灣的水庫湖泊型風景區中應屬南投縣魚池鄉的日月潭最受矚目；全潭面積827公頃，湖面周圍約33公里，北半部形如日輪，南半部形如月鉤，故而得名。日月潭的水源來自濁水溪上游，而濁水溪發源於合歡山，故日月潭的源頭為合歡山。最早日月潭只是個小湖泊，日治時代，為了發電所需，日人從濁水溪最靠近日月潭的武界處，攔砂截取濁水溪流水，修築了一條15公里長的地下水道，穿過水社大山進到日月潭，淹沒眾多小山丘，而成今之泱泱湖泊。由於臺灣的水庫普遍利用溪流截堵成潭，水庫狹長，景觀單調，日月潭則是利用窪地注水成潭，水域由山巒環繞，層層相夾，水道蜿蜒紛岐，遠觀近遊，處處是景。由於它是國內少見的活水庫，水庫的水每日透過台電抽蓄發電循環使用，宛如活水，不但藻類植物不易滋生，水質透明度佳，故能繁殖肉質鮮膩的曲腰魚、奇力魚與潭蝦。很多書上用水沙連形容日月潭，事實上水沙連的範圍比現在日月潭來得大。「沙連」是以前平埔族人對內山原住民的通稱，內山為一連串多積水盆地群，日月潭湖泊即在其中，加水字於上，合稱「水沙連」，範圍相當於現在埔里、魚池、中明、水社、頭社等地。海拔748公尺的中高度，造就日月潭宛如圖畫山水的氤氳水氣及層次分明的山景變化，唯能乘船遊湖、親近潭水，才能完全體會日月潭之晨昏美景。環潭公路：日月潭環湖一周，約33公里，過去僅有日潭公路，1995年9月間，月潭公路完工後，使日月潭環湖公路於焉完成，遊客可開車或騎機車，沿湖遊覽各個景點。環湖公路共設有兩處收費站：一在日潭，中信大飯店附近；一在月潭潭頭，即日月潭的最南端點。以日潭收費站為起點，順時針方向遊覽日月潭環湖上各景點，依序是文武廟、孔雀園、日月村、玄奘寺、慈恩塔、玄光寺。向山遊客中心向山行政暨遊客中心位處臺21線水社隧道附近，鳥瞰建築物，猶如雙手環抱整個日月潭的湖光山色，其中兩個長度達三十四公尺高八公尺的超大跨度之頂版結構；日月潭的湖光山色穿過寬闊的跨距空間，直接映入遊客眼中，創造了人與自然間發展對話的舞台，雖為建築物，但若說它是一件藝術品也不為過。本園區前棟為辦公處所，後棟則為遊客中心。遊客中心展場包含「悠遊水沙連-產業館」、「日昇月恆-藝廊」、「潭情日月-自然人文館」及「多媒體影音播放室」，分別展出當地的產業、工藝和旅遊資源，其中「產業館」網羅了大日月潭地區的陶藝、紙藝、工藝、酒類、紅茶及農特產等特色產業，並提供產業資訊；「藝廊」以潭區附近工藝名家作品展為主題；「自然人文館」以影音導覽認識日月潭自然人文與歷史。多媒體影音播放室有3D立體多媒體簡介，帶給遊客意想不到的影音震撼。
十分風景特定區,"十分風景特定區位於臺灣東北部石碇、瑞芳與雙溪之間的十分寮周邊，行政地區上屬於新北市平溪區，實際地理位置是在基隆河的支流上，在臺灣風景區中是屬於瀑布溪谷型。基隆河是北部地區最大也是最長的一條河流，由於源頭的侵蝕作用與附近切割地形的關係，造成許多的斷層與奇岩，而河水經過這些斷層和奇岩後，因速度快而造成許多瀑布奇觀。北自猴硐至三貂嶺，再延伸到十分寮、平溪一帶，形成一連串此起彼落的瀑布群，其中較大且著名的是十分瀑布，在假日總是人潮洶湧、絡繹於途。十分瀑布
位於新北市平溪區，在平溪線鐵路大華車站與十分車站之間，屬幕簾式瀑布，瀑布下方水潭極深，瀑布就像千軍萬馬奔騰，傾瀉而下，感覺就像一襲白色綢緞，墜入一大片寬廣深潭，瀑水形成的水氣經常彌漫在瀑潭上方，經陽光照射，便呈現出一道彩虹，顯現出晴空霓虹璀燦奪目，故有彩虹淵的美名。十分瀑布因岩層的傾向與水流相反，屬於逆斜層瀑布，此情況與北美的尼加拉瀑布相似，使其贏得「臺灣尼加拉瀑布」的美譽。十分車站
為沿著基隆河谷行走的平溪支線鐵路，由三貂嶺至菁桐站，全長12.9公里，於西元1918年為運煤而興建，並在1992年選定平溪支線鐵路為觀光路線，而十分即為其中一站，車站附近景色秀麗，映入眼簾的瀑布、小支流，真是令人感到驚喜。十分寮擁有廣闊的河階台地，又有平溪支線鐵路經過，民宅緊鄰鐵道兩側興建，是憶舊及抒發鄉愁的最佳地點，也常常有廣告商到此取景。靜安吊橋主要功能是連接十分村與南山村，全長128公尺，是目前少見保存良好的人行吊橋，景觀優美浪漫，常吸引遊客駐足。十分風景區遊客中心 
新北市瑞芳風景特定區管理所設置十分旅遊服務中心，其範圍從基隆河上游算起，全區56.89公頃，包括十分、新寮、南山等地區，自然景觀引人入勝，山巒秀麗、水量豐沛的瀑布群，及鬼斧神工的大華壺穴等，是一處難得世外桃源。十分火車站下車後，沿老街步行約15分可抵。中心內每天定時播放多媒體影片，免費供遊客觀賞，團體可接受電話預約，並接受遊客預約天燈研習教作。"
勝興車站,勝興火車站是西部縱貫鐵路的最高點，站內月台有一座紀念碑，標高 402.326公尺，為西部縱貫鐵路中最險峻、自然景觀最特殊的一段。勝興車站整棟建築係以木頭為建材，為一日式虎牙式木造建築，虎牙式設計據說有避邪祈福的作用。勝興火車站興建於民國前6年（西元1906年），至今已有百餘年的歷史，站內設施有許多日治時代的設備，例如與泰安之間作為列車通行證的「電器站牌」，現已改為中央控制系統，這套設備也就逐漸成為歷史。民國87年（西元1998年）9月23日晚上9點10分車次167最後一班南下列車停靠後，新舊山線完成切換，舊山線縱此畫下完美句點。現在到勝興車站的遊客卻多了一份緬懷，停駛後列車不再來，反而多了新人拍攝婚紗的懷舊場景，越野車手馳騁的新天地，還有三五成群的遊客走進隧道探險的新風貌。擁有多項第一的勝興站，在各方的關愛下已於民國88年（西元1999年）4月16日經苗栗縣政府公告為「縣定古蹟」，至此深富歷史與觀光資源的文物得以保存。
碧潭風景區,碧潭為臺灣昔日八大景之一，風景秀麗，位於捷運新店總站附近，交通甚為便利，為臺北都會區民眾假日旅遊休憩的好去處。新店溪流經碧潭出現曲流、岩壁及丘陵，碧潭因河岸寬廣，水色澄碧、平靜如潭而得其名，適宜划船、游泳、釣魚等活動，景致十分宜人。早年前考試院長孫科曾在潭西岸的懸崖巨石上題有「碧潭」二字，巨石頂上民間居民蓋有亭台，名為碧亭，將潭西山壁點綴地秀麗不凡。碧潭吊橋長約200公尺，建於民國26年初，橫跨碧潭之水上，佇立於碧潭兩岸，此有如長虹懸空跨越兩岸，成為本地主要特色標誌。站於橋上欣賞碧潭之美景，湖光山色、葉舟點點，把碧潭裝點得如詩如畫，這歷史悠久的遊覽勝地，為新店區旅遊主要的觀光景點。
新北投溫泉區,北投溫泉區泛指地熱谷、龍鳳、鳳凰、湖山里、行義路等十餘處。而狹義的「北投溫泉區」主要是指環繞「北投溫泉親水公園」四周的中山路、光明路、新民路、泉源路一帶，此地溫泉旅館規模較大、數量最為集中，自然人文資源也最豐富。清光緒20年(1894)，德籍硫磺商人奧里(Ouely)利用北投溫泉興建溫泉俱樂部，為北投溫泉開發之始。1896年，日本大阪商人平田源吾發現北投溫泉質佳，極富觀光與商業價值，故於北投溪畔開闢臺灣第一家溫泉旅社─「天狗庵」，成為北投溫泉浴場的先例與濫觴。座落於北投溫泉親水公園內，緊臨北投溪的北投溫泉博物館，前身乃「北投溫泉公共浴場」，是在西元1913年由臺北州廳仿日本靜岡縣伊豆山溫泉浴場所興建，占地700坪，為2層樓建築，一樓磚造235坪，二樓木造190坪。建築北面呈現出日本神社的莊嚴氣氛，是臺灣最富盛名、規模最大的公共浴場。光復以後，浴場荒廢很長一段時間，後經北投地方人士熱心奔走，民國87年市政府開始著手將此處規畫為以北投溫泉為主題的社區博物館，並於民國87年10月31日舉行啟用典禮，正式開放供民眾參觀。
基隆市廟口小吃,位於基隆市仁三路旁的奠濟宮周圍，從愛二路至愛三路之間的仁三路，小吃種類眾多，短短3、400公尺，卻聚集了有近200個攤位，走在其間，嘴巴沒有一刻停閒，這時你會期望自己是個超級大胃王，能將這基隆廟口夜市的所有美食都能一一品嚐。夜市中每位經營的老闆都巧心創作口味和料理，用料實在而且價錢公道、色香味俱全；也難怪每天這兒都相當的熱鬧。著名小吃有鼎邊趖、天婦羅、肉羹、蚵仔煎與滷肉飯….等，應有盡有，不論是海鮮還是香烤雞肉、水果冰品，各種小吃口味道地，一路吃下來就像是走遍了整個臺灣，讓人來了還想再來。除了本地人愛來這裡打打牙祭之外，觀光客也相偕而來呢！所以想要一嚐臺灣的特有美食小吃，基隆廟口你可不能錯過喔！
